F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
,9,0,9,0,44,43,,0,1,0,0,0,0,,,,,
,11,0,11,1,54,53,,0,0,0,0,0,0,,,,,
,9,0,9,0,42,40,,40,2,1,0,1,0,,,,,
,9,0,9,0,51,51,,0,0,0,0,0,0,,,,,
,23,0,23,0,104,97,,22,7,0,0,0,0,,,,,
,9,0,9,0,48,43,,0,5,0,1,2,0,,,,,
,11,1,11,0,52,48,,10,4,0,1,0,1,,,,,
,7,0,7,0,47,46,,0,1,1,0,0,0,,,,,
,11,0,11,2,65,60,,8,3,0,1,0,0,,,,,
,18,0,18,0,81,80,,0,1,0,0,1,0,,,,,
,10,0,10,0,45,45,,0,0,0,0,0,0,,,,,
,14,1,14,0,62,60,,0,2,0,0,1,1,,,,,
,8,0,8,0,43,43,,0,0,0,0,0,0,,,,,
,12,0,12,0,50,48,,0,2,0,0,2,0,,,,,
,7,0,7,0,44,42,,0,2,0,0,2,0,,,,,
,11,0,11,0,51,49,,1,2,0,0,2,0,,,,,
,15,0,15,0,71,65,,0,6,0,0,6,0,,,,,
,10,0,10,0,43,43,,0,0,0,0,0,0,,,,,
,10,0,10,0,42,41,,0,1,0,0,1,0,,,,,
,8,0,8,0,44,40,,0,4,4,0,0,0,,,,,
,9,0,9,0,42,42,,0,0,0,0,0,0,,,,,
,6,0,6,0,33,30,,0,3,0,0,0,0,,,,,
,7,0,7,0,38,34,,0,4,0,0,0,0,,,,,
,6,0,6,0,25,24,,0,1,0,0,0,0,,,,,
,6,0,6,0,23,21,,0,2,0,0,0,0,,,,,
,11,0,11,0,57,57,,0,0,0,0,0,0,,,,,
,12,0,12,0,61,60,,0,1,0,0,1,0,,,,,
,8,1,8,0,47,46,,0,1,0,0,0,1,,,,,
,10,0,10,0,50,47,,0,3,0,1,0,0,,,,,
,11,0,11,0,62,62,,0,0,0,0,0,0,,,,,
,15,0,15,0,65,65,,0,0,0,0,0,0,,,,,
,12,0,12,0,62,60,,0,2,2,0,0,0,,,,,
,10,0,10,0,48,42,,0,6,0,0,1,0,,,,,
,18,2,18,2,86,81,,0,3,0,0,1,2,,,,,
,12,0,12,0,46,46,,0,0,0,0,0,0,,,,,
,8,0,8,0,37,34,,0,3,0,1,0,0,,,,,
,16,0,16,0,78,75,,0,3,2,0,1,0,,,,,
,23,2,23,0,98,93,,0,5,0,0,3,2,,,,,
,22,1,22,0,101,97,,0,4,0,1,0,1,,,,,
,25,1,25,0,117,113,,0,4,0,1,0,1,,,,,
,13,1,13,0,44,43,,0,1,0,0,0,1,,,,,
,25,0,25,1,116,114,,0,1,0,0,1,0,,,,,
,13,0,13,0,56,56,,0,0,0,0,0,0,,,,,
,9,0,9,0,48,46,,0,2,0,0,2,0,,,,,
,8,0,8,0,48,42,,0,6,0,0,6,0,,,,,
,9,0,9,0,48,47,,0,1,0,0,1,0,,,,,
,10,1,10,0,57,55,,0,2,1,0,0,1,,,,,
,8,0,8,0,45,45,,0,0,0,0,0,0,,,,,
,7,0,7,0,59,55,,0,4,2,0,2,0,,,,,
,22,0,22,0,91,91,,0,0,0,0,0,0,,,,,
,12,0,12,0,69,68,,0,1,0,0,1,0,,,,,
,15,0,15,0,68,68,,0,0,0,0,0,0,,,,,
,10,0,10,0,50,47,,0,3,0,1,0,0,,,,,
,9,0,9,0,49,48,,1,1,0,0,1,0,,,,,
,14,0,14,0,58,52,,0,6,0,1,3,0,,,,,
,11,0,11,0,66,60,,0,6,4,1,0,0,,,,,
,1,0,1,0,1,0,,0,1,0,0,0,0,,,,,
,10,0,10,0,58,58,,0,0,0,0,0,0,,,,,
,22,1,22,0,117,115,,115,2,0,0,1,1,,,,,
,11,0,11,0,62,62,,0,0,0,0,0,0,,,,,
,9,0,9,0,49,49,,0,0,0,0,0,0,,,,,
,11,0,11,0,50,50,,0,0,0,0,0,0,,,,,
,19,0,19,0,92,92,,0,0,0,0,0,0,,,,,
,14,0,14,0,67,67,,0,0,0,0,0,0,,,,,
,13,0,13,0,53,52,,0,1,0,0,1,0,,,,,
,9,0,9,0,43,42,,0,1,0,0,1,0,,,,,
,11,0,11,0,50,50,,0,0,0,0,0,0,,,,,
,15,0,15,0,89,89,,0,0,0,0,0,0,,,,,
,20,0,20,0,83,83,,0,0,0,0,0,0,,,,,
,7,1,7,0,49,48,,0,1,0,0,0,1,,,,,
,10,0,10,0,44,44,,0,0,0,0,0,0,,,,,
,12,0,12,0,47,45,,0,2,0,0,2,0,,,,,
,14,0,14,0,75,75,,0,0,0,0,0,0,,,,,
,11,0,11,0,53,52,,0,1,1,0,0,0,,,,,
,9,0,9,0,47,47,,0,0,0,0,0,0,,,,,
,11,0,11,0,52,52,,0,0,0,0,0,0,,,,,
,13,0,13,0,51,51,,0,0,0,0,0,0,,,,,
,13,0,13,0,63,63,,0,0,0,0,0,0,,,,,
,12,0,12,0,52,49,,0,3,0,1,0,0,,,,,
,10,0,10,0,51,46,,0,5,0,1,2,0,,,,,
,12,1,12,0,66,63,,0,3,0,0,2,1,,,,,
,7,0,7,0,46,46,,0,0,0,0,0,0,,,,,
,11,0,11,0,67,67,,0,0,0,0,0,0,,,,,
,10,0,10,0,47,44,,0,3,0,0,3,0,,,,,
,14,0,14,0,69,67,,0,2,0,0,2,0,,,,,
,11,0,11,0,52,48,,0,4,0,0,4,0,,,,,
,12,0,12,0,55,55,,0,0,0,0,0,0,,,,,
,11,0,11,0,59,59,,0,0,0,0,0,0,,,,,
,13,0,13,0,55,55,,0,0,0,0,0,0,,,,,
,10,0,10,0,49,49,,0,0,0,0,0,0,,,,,
,12,0,12,0,56,56,,0,0,0,0,0,0,,,,,
,10,0,10,0,44,44,,0,0,0,0,0,0,,,,,
